"item_id","dataset_id","status","file_name","creation_date","update_date","resolved_wos_ut"
CTNG2026020016466674,DATA2026020034944011,A,CTNG2026020.XML,2026-08-20 06:09:00.172,2026-08-20 06:09:01.645,WOS:001654322700002
CTNG2026020016466654,DATA2026020034943984,A,CTNG2026020.XML,2026-08-20 06:08:59.862,2026-08-20 06:09:01.675,WOS:001450949100001
CTNG2026020016466660,DATA2026020034943994,A,CTNG2026020.XML,2026-08-20 06:08:59.896,2026-08-20 06:09:01.909,WOS:001450949100001
CTNG2026020016466635,DATA2026020034943940,A,CTNG2026020.XML,2026-08-20 06:08:59.698,2026-08-20 06:09:01.926,WOS:001649197300001
CTNG2026020016466758,DATA2026020034944135,A,CTNG2026020.XML,2026-08-20 06:09:01.179,2026-08-20 06:09:05.503,null
CTNG2026020016466670,DATA2026020034944007,A,CTNG2026020.XML,2026-08-20 06:09:00.087,2026-08-20 06:09:01.985,WOS:001566385700001
CTNG2026020016466652,DATA2026020034943980,A,CTNG2026020.XML,2026-08-20 06:08:59.821,2026-08-20 06:09:02.102,WOS:001450949100001
CTNG2026020016466622,DATA2026020034943923,A,CTNG2026020.XML,2026-08-20 06:08:59.676,2026-08-20 06:09:02.139,WOS:001659506000001
CTNG2026020016466666,DATA2026020034944003,A,CTNG2026020.XML,2026-08-20 06:09:00.001,2026-08-20 06:09:02.293,WOS:001654724600001
CTNG2026020016466644,DATA2026020034943962,A,CTNG2026020.XML,2026-08-20 06:08:59.782,2026-08-20 06:09:02.371,WOS:001608652400004
CTNG2026020016466692,DATA2026020034944030,A,CTNG2026020.XML,2026-08-20 06:09:00.491,2026-08-20 06:09:02.414,WOS:001656130600001
CTNG2026020016466682,DATA2026020034944020,A,CTNG2026020.XML,2026-08-20 06:09:00.320,2026-08-20 06:09:02.457,WOS:001654737200001
CTNG2026020016466687,DATA2026020034944025,A,CTNG2026020.XML,2026-08-20 06:09:00.413,2026-08-20 06:09:02.569,WOS:001649648800001
CTNG2026020016466677,DATA2026020034944014,A,CTNG2026020.XML,2026-08-20 06:09:00.225,2026-08-20 06:09:02.807,WOS:001654828600003
CTNG2026020016466678,DATA2026020034944015,A,CTNG2026020.XML,2026-08-20 06:09:00.246,2026-08-20 06:09:02.501,WOS:001651158800007
CTNG2026020016466694,DATA2026020034944032,A,CTNG2026020.XML,2026-08-20 06:09:00.534,2026-08-20 06:09:02.828,WOS:001651055300001
CTNG2026020016466641,DATA2026020034943952,A,CTNG2026020.XML,2026-08-20 06:08:59.760,2026-08-20 06:09:02.528,WOS:001641653600001
CTNG2026020016466689,DATA2026020034944027,A,CTNG2026020.XML,2026-08-20 06:09:00.442,2026-08-20 06:09:03.465,WOS:001645541500001
CTNG2026020016466720,DATA2026020034944064,A,CTNG2026020.XML,2026-08-20 06:09:00.841,2026-08-20 06:09:04.764,WOS:001523025200010
CTNG2026020016466746,DATA2026020034944123,A,CTNG2026020.XML,2026-08-20 06:09:00.990,2026-08-20 06:09:05.724,WOS:001568005800001
